"Average Groups Contribution to dissimilarity","Porous Contaminated x Karst-Porous","Porous Contaminated x Mine","Porous Contaminated x Subsurface saline","Porous Contaminated x Porous","Porous Contaminated x Geyser","Karst-Porous x Mine","Karst-Porous x Subsurface saline","Karst-Porous x Porous","Karst-Porous x Geyser","Mine x Subsurface saline","Mine x Porous","Mine x Geyser","Subsurface saline x Porous","Subsurface saline x Geyser","Porous x Geyser"
"Allochromatium",6.93245793585722e-05,4.78764868393727e-05,6.80065947763011e-05,4.97043377678968e-05,6.11596799834375e-05,5.568762803557e-05,5.99042687264418e-05,5.0461952273666e-05,7.13155686013989e-05,5.8647747826344e-05,2.97230932241735e-05,3.56722853531816e-05,4.7906657921795e-05,7.44972775294799e-05,4.85935226738679e-05
"Allofrancisella",1.25273081249805e-05,1.35789256507538e-05,1.39539943818865e-05,1.27770947042363e-05,1.22737086479122e-05,2.27915305330904e-06,1.09174713609015e-05,5.10570671036529e-06,2.64919020372438e-06,1.20662996045749e-05,4.60583681932047e-06,1.92941124177478e-06,1.05986492909915e-05,1.08192470283406e-05,4.71157383481063e-06
"Allokutzneria",6.47146760805488e-05,6.23117564611586e-05,2.81123728749426e-05,3.66301436670114e-05,6.14772168207508e-05,6.2844890058652e-05,7.13408157850791e-05,6.99657769463126e-05,9.59545217203921e-05,6.21557587150794e-05,6.56170095500854e-05,8.72325021983284e-05,2.62774319453106e-05,4.95754083231597e-05,5.76951273825524e-05
"Altererythrobacter",0.000337384711514383,0.000365339006224347,0.000232370730882211,0.000260994809963498,0.000292713999789403,0.000266488565590057,0.00023466719820518,0.000294833104292313,0.00029942287485378,0.000271102958111913,0.000328710339166372,0.000325900932831317,0.00018778458452016,0.000215421266347193,0.000232873458158912
"Alteromonas",9.12871318825839e-05,0.000141292321872453,0.00013363946460352,8.27658569796259e-05,8.71363865511628e-05,0.000157869163949629,0.000154972016245769,7.73095307489036e-05,5.16600139550273e-05,0.000175210770682988,0.000141961430270859,0.000154258216468444,0.000135136877491566,0.000150780205056225,6.95687314895929e-05
"Altibacter",1.4703579777521e-06,1.50946925023144e-06,1.71951530350999e-06,8.26129551373605e-06,1.6015412782242e-06,3.42621987361672e-07,1.47287108365272e-06,7.92881855368328e-06,8.62614882829673e-07,1.66564326880794e-06,7.92881855368328e-06,7.4383555622868e-07,8.12969882973082e-06,1.58588575844173e-06,8.06468768384209e-06
"Aminobacter",0.000146623630652754,0.00012183636509102,0.000396305989746225,9.32021989045399e-05,0.000119455258412331,0.00012628105227421,0.000397392315350324,0.000129593137271526,0.000177861509821425,0.00038871756657625,0.000105579079385711,0.000145322985078789,0.000381360354077029,0.000417440717679588,0.00010788532717821
"Aminobacterium",2.30397624314249e-05,2.72513612749549e-05,4.38343505128707e-05,2.25713262252451e-05,2.30347823306285e-05,1.90676546572876e-05,4.54133515175608e-05,1.55030863020365e-05,1.31084727682545e-05,4.62605972607761e-05,2.00135557490994e-05,1.89486927641067e-05,4.30807417651282e-05,4.71928974842694e-05,1.52617478760599e-05
"Aminomonas",2.39349598038716e-05,2.93638207463108e-05,1.73933928996096e-05,1.7163938100512e-05,1.70265668519057e-05,3.19749823564121e-05,2.15358037697465e-05,2.14209628739901e-05,2.12729596030152e-05,2.65156096762403e-05,3.02005785856692e-05,2.93078253046869e-05,1.6986049051725e-05,1.58900440533529e-05,9.54036201304164e-06
"Ammonifex",2.51530810597531e-05,4.85655220599586e-05,1.97996123165133e-05,2.21902761586774e-05,2.12073789517862e-05,4.74805068374184e-05,1.50631896751397e-05,1.80730318918009e-05,1.54243559437168e-05,4.37030331818234e-05,4.24283541410155e-05,4.90069455694295e-05,1.12876487708406e-05,9.05305083854573e-06,1.50623059535738e-05
"Amphibacillus",1.30776315646641e-05,1.46223510591463e-05,2.39079485781844e-05,1.37049363859696e-05,1.32653671686997e-05,3.26683478554536e-06,2.50169395266545e-05,6.38940900225114e-06,3.38410315820572e-06,2.66447717529245e-05,5.33690843368803e-06,1.64760733712251e-06,2.49240946105198e-05,2.53776401270216e-05,5.41499287857357e-06
"Amycolatopsis",0.000547159817856942,0.000792667230316679,0.000203508266910669,0.000270060039712521,0.000488485274297229,0.000749596392398212,0.000563170541142983,0.000579074799504167,0.0008019422460384,0.000775978785352314,0.000809026475813071,0.000932932321110948,0.000201480790189723,0.000429744009603682,0.000456007043849688
"Anabaena",4.03125833058099e-05,4.35955223364091e-05,5.56974344112367e-05,3.6767701617754e-05,3.53679984484492e-05,2.55519217634015e-05,5.62687870598728e-05,2.67020938183442e-05,2.4481356245315e-05,6.61258337411018e-05,2.41831921886514e-05,1.95706738520327e-05,5.37691253100794e-05,5.43892855885058e-05,1.96301206055052e-05
"Anabaenopsis",1.10336678548081e-05,5.62887024037468e-05,8.94345943326303e-06,1.61329395661981e-05,9.27185084244342e-06,5.48581353721119e-05,8.07869652817677e-06,1.47751369369374e-05,6.90336896880087e-06,5.47981280519457e-05,5.69540376624916e-05,5.38058010933478e-05,1.40286832524094e-05,5.21471940140335e-06,1.31331217377451e-05
"Anaerococcus",2.22202282723372e-05,0.00117583419895351,2.25604224060911e-05,2.32316951875619e-05,2.23716515525129e-05,0.00118031906735214,2.32768883867404e-05,1.45117440470535e-05,1.21925417972761e-05,0.0011740978700929,0.00118215214387319,0.00118214729529752,2.50741309318495e-05,2.53021790332899e-05,1.11582200710402e-05
"Anaerolinea",0.000105335503500105,0.00015246121549389,0.000100156593058301,9.28456514529475e-05,0.000205505541434035,8.86630955626145e-05,3.85092053128055e-05,3.74418804283897e-05,0.000144463638867689,8.45972429943739e-05,9.40803873663498e-05,0.000141097616028122,3.37138635956163e-05,0.000142423871874355,0.000153595070897056
"Anaeromyxobacter",0.000852554002697332,0.00029375025748484,0.000268530499769654,0.000296271341172358,0.000624414588051312,0.000890179650315464,0.00099098697711206,0.000947640042521992,0.00116835939892581,0.000172961504218636,0.000215365796020102,0.000576422331227762,0.000174871037790406,0.000507710446233464,0.000544229581428285
"Anaerostipes",3.53563513243101e-05,7.44463050782442e-05,3.37269474343267e-05,4.14879465651426e-05,1.26488899935443e-05,9.4025997751892e-05,5.68226462131038e-05,6.21457672007349e-05,2.83436951861518e-05,6.62906190832092e-05,6.51501843396325e-05,7.94948370715021e-05,4.39779570138513e-05,3.71594872470101e-05,4.28123486694466e-05
"Anaerotignum",5.54511987078151e-06,5.92211906748247e-06,1.26764289991009e-05,3.93017111833022e-05,5.68563340601463e-06,1.6511887087371e-06,1.31577784782693e-05,3.9334501667308e-05,2.15046089236598e-06,1.40989498137974e-05,3.95262696328503e-05,1.48999277594234e-06,3.97764286136047e-05,1.331614346536e-05,3.92537369989466e-05
